shape_id,shape_pt_sequence,shape_dist_traveled,shape_pt_lat,shape_pt_lon
880814,0,,14.6035,120.983
880814,1,,14.6024,120.98707
880814,2,,14.60049,120.99078
880814,3,,14.60052,120.99149
880814,4,,14.60072,120.99205
880814,5,,14.600980000000002,120.9929
880814,6,,14.60114,120.99349
880814,7,,14.60119,120.99402
880814,8,,14.6006,120.99598
880814,9,,14.60063,120.99651
880814,10,,14.60085,120.99727
880814,11,,14.600930000000002,120.99770999999998
880814,12,,14.600770000000002,120.99804999999998
880814,13,,14.600680000000002,120.99830999999998
880814,14,,14.600630000000002,120.99859999999998
880814,15,,14.600590000000002,120.99889
880814,16,,14.600680000000002,120.99921
880814,17,,14.600790000000002,120.99958
880814,18,,14.600920000000002,120.99982
880814,19,,14.601060000000002,121.00016
880814,20,,14.601240000000002,121.00128
880814,21,,14.601650000000005,121.0042
880814,22,,14.604200000000002,121.017
880814,23,,14.609040000000002,121.02228
880814,24,,14.609500000000002,121.02301
880814,25,,14.610500000000002,121.026
880814,26,,14.612510000000002,121.03226
880814,27,,14.615330000000002,121.03732
880814,28,,14.617990000000002,121.04187
880814,29,,14.619220000000002,121.04402
880814,30,,14.620960000000002,121.04892999999998
880814,31,,14.62299,121.05329
880814,32,,14.62769,121.06283
880814,33,,14.62804,121.06504
880814,34,,14.62841,121.06689
880814,35,,14.62883,121.06809
880814,36,,14.63111,121.07303
880814,37,,14.63252,121.07599
880814,38,,14.632550000000002,121.07657
880814,39,,14.632300000000004,121.0774
880814,40,,14.631840000000002,121.07781
880814,41,,14.630680000000002,121.07873
880814,42,,14.62596,121.08204
880814,43,,14.62434,121.08357
880814,44,,14.62392,121.08406
880814,45,,14.62326,121.08479
880814,46,,14.623,121.08512
880814,47,,14.6223,121.086
880814,48,,14.6223,121.086
880814,49,,14.6223,121.086
880814,50,,14.62227,121.08603
880814,51,,14.62221,121.08601
880814,52,,14.622559999999998,121.08565
880814,53,,14.622299999999996,121.08599999999998
880814,54,,14.622299999999996,121.08599999999998
880814,55,,14.622299999999996,121.08599999999998
882116,0,,14.6035,120.983
882116,1,,14.6024,120.98707
882116,2,,14.60049,120.99078
882116,3,,14.60052,120.99149
882116,4,,14.60072,120.99205
882116,5,,14.600980000000002,120.9929
882116,6,,14.60114,120.99349
882116,7,,14.60119,120.99402
882116,8,,14.6006,120.99598
882116,9,,14.60063,120.99651
882116,10,,14.60085,120.99727
882116,11,,14.600930000000002,120.99770999999998
882116,12,,14.600770000000002,120.99804999999998
882116,13,,14.600680000000002,120.99830999999998
882116,14,,14.600630000000002,120.99859999999998
882116,15,,14.600590000000002,120.99889
882116,16,,14.600680000000002,120.99921
882116,17,,14.600790000000002,120.99958
882116,18,,14.600920000000002,120.99982
882116,19,,14.601060000000002,121.00016
882116,20,,14.601240000000002,121.00128
882116,21,,14.601650000000005,121.0042
882116,22,,14.604200000000002,121.017
882116,23,,14.609040000000002,121.02228
882116,24,,14.609500000000002,121.02301
882116,25,,14.610500000000002,121.026
882116,26,,14.612510000000002,121.03226
882116,27,,14.615330000000002,121.03732
882116,28,,14.617990000000002,121.04187
882116,29,,14.619220000000002,121.04402
